Ac_dB_ac (Design_Point=1) X,Ac_dB_ac (Design_Point=1) Y
10,-16.96141714795142
15.84893192461114,-16.96141714795037
25.11886431509581,-16.96141714794765
39.81071705534973,-16.96141714794109
63.09573444801934,-16.96141714792457
100,-16.96141714788427
158.4893192461114,-16.96141714777918
251.1886431509581,-16.96141714751628
398.1071705534974,-16.96141714685482
630.9573444801935,-16.96141714518851
1000,-16.96141714100867
1584.893192461114,-16.96141713057851
2511.886431509582,-16.96141710441459
3981.071705534975,-16.96141703843794
6309.573444801937,-16.96141687299944
10000.00000000001,-16.9614164572795
15848.93192461115,-16.96141541313306
25118.86431509582,-16.96141278999325
39810.71705534976,-16.96140620129314
63095.73444801939,-16.96138965102416
100000.0000000001,-16.96134807948919
158489.3192461116,-16.96124365821265
251188.6431509583,-16.9609813761268
398107.1705534978,-16.9603226340929
630957.3444801942,-16.95866845538677
1000000.000000002,-16.9545165410094
1584893.192461116,-16.94410750486049
2511886.431509584,-16.91808716508677
3981071.705534979,-16.85350861865939
6309573.444801943,-16.69602579428629
10000000.00000002,-16.32747110733586
15848931.92461117,-15.53781217001757
25118864.31509585,-14.09663911208098
39810717.05534981,-12.00316371043735
63095734.44801947,-9.623739688376141
100000000.0000002,-7.377740548407746
158489319.2461118,-5.34320986138729
251188643.1509587,-3.436928305215103
398107170.5534983,-1.980843300755469
630957344.480195,-1.744261672595311
1000000000.000003,-3.373772045361379
1584893192.461118,-6.888857448611453
2511886431.509588,-11.86621141857326
3981071705.534985,-17.93046375516453
6309573444.801953,-24.71833406975072
10000000000.00003,-31.7230083284778
15848931924.61119,-38.31984449396473
25118864315.09589,-43.80176494051388
39810717055.34987,-47.62168269660865
63095734448.01955,-49.79475063158498
100000000000,-50.81903579968014
